Date,GRA Purchases,PRGT 1/2/,Totals,Totals_bil_SDR,Year,Totals_USD
08/31/2022,93769635059.00,15254184552.00,109023819611.00,109.02,2022,140.34
12/31/2021,89474552025.00,14554823681.00,104029375706.00,104.03,2021,133.91
12/31/2020,93408630285.00,12481816684.00,105890446969.00,105.89,2020,136.31
12/31/2019,66945509865.00,6590835450.00,73536345315.00,73.54,2019,94.66
12/31/2018,55395611392.00,6426181029.00,61821792421.00,61.82,2018,79.58
12/31/2017,39585385873.00,6522280669.00,46107666542.00,46.11,2017,59.35
12/31/2016,49267630851.00,6482647937.00,55750278788.00,55.75,2016,71.76
12/31/2015,50757840741.00,6575911158.00,57333751899.00,57.33,2015,73.80
12/31/2014,69041563463.00,6292755583.00,75334319046.00,75.33,2014,96.97
12/31/2013,83899249061.00,6174392682.00,90073641743.00,90.07,2013,115.95
12/31/2012,90042348252.00,5766292503.00,95808640755.00,95.81,2012,123.33
12/31/2011,87276915790.00,5308609594.00,92585525384.00,92.59,2011,119.18
12/31/2010,55620104510.00,4819344134.00,60439448644.00,60.44,2010,77.80
12/31/2009,37221142436.00,5079705286.00,42300847722.00,42.30,2009,54.45
12/31/2008,17514964723.00,3972372030.00,21487336753.00,21.49,2008,27.66
12/31/2007,6036146757.00,3796945581.00,9833092338.00,9.83,2007,12.66
12/31/2006,9822640239.00,3844020520.00,13666660759.00,13.67,2006,17.59
12/31/2005,28432143237.00,6282121668.00,34714264905.00,34.71,2005,44.69
12/31/2004,55373766674.00,6766029353.00,62139796027.00,62.14,2004,79.99
12/31/2003,65032062712.00,6880893268.00,71912955980.00,71.91,2003,92.57
12/31/2002,63601058794.00,6868671012.00,70469729806.00,70.47,2002,90.71
12/31/2001,53477225409.00,6424578684.00,59901804093.00,59.90,2001,77.11
12/31/2000,42990531049.00,6331595468.00,49322126517.00,49.32,2000,63.49
12/31/1999,51061861875.00,6434274362.00,57496136237.00,57.50,1999,74.01
12/31/1998,60451017051.00,6288825925.00,66739842976.00,66.74,1998,85.91
12/31/1997,46559033783.00,6009867422.00,52568901205.00,52.57,1997,67.67
12/31/1996,36127472805.00,5881609752.00,42009082557.00,42.01,1996,54.08
12/31/1995,35929173412.00,5657438528.00,41586611940.00,41.59,1995,53.53
12/31/1994,25611676952.00,4599768498.00,30211445450.00,30.21,1994,38.89
12/31/1993,25196745031.00,3942792899.00,29139537930.00,29.14,1993,37.51
12/31/1992,23967172718.00,3804463796.00,27771636514.00,27.77,1992,35.75
12/31/1991,23378573926.00,3285717796.00,26664291722.00,26.66,1991,34.32
12/31/1990,20731851093.00,2571911617.00,23303762710.00,23.30,1990,30.00
12/31/1989,22315104224.00,2334886562.00,24649990786.00,24.65,1989,31.73
12/31/1988,24750004884.00,1773964293.00,26523969177.00,26.52,1988,34.14
12/31/1987,28751979125.00,1866342930.00,30618322055.00,30.62,1987,39.41
12/31/1986,33334905644.00,2013169931.00,35348075575.00,35.35,1986,45.50
12/31/1985,35194787249.00,2470247948.00,37665035197.00,37.67,1985,48.48
12/31/1984,34936772393.00,2769874900.00,37706647293.00,37.71,1984,48.54