IMF Credit Outstanding  for all members from 1984 - 2022,,,,,,
(in SDRs),,,,,,
,,,,,,
Date,GRA Purchases,PRGT 1/2/,Totals,Totals_bil_SDR,Year,Total_USD
08/31/2022,"93,769,635,059","15,254,184,552","109,023,819,611",109.0238196,2022,140.3409118
12/31/2021,"89,474,552,025","14,554,823,681","104,029,375,706",104.0293757,2021,133.9118139
12/31/2020,"93,408,630,285","12,481,816,684","105,890,446,969",105.890447,2020,136.3074779
12/31/2019,"66,945,509,865","6,590,835,450","73,536,345,315",73.53634532,2019,94.65966051
12/31/2018,"55,395,611,392","6,426,181,029","61,821,792,421",61.82179242,2018,79.58010229
12/31/2017,"39,585,385,873","6,522,280,669","46,107,666,542",46.10766654,2017,59.35209376
12/31/2016,"49,267,630,851","6,482,647,937","55,750,278,788",55.75027879,2016,71.76454637
12/31/2015,"50,757,840,741","6,575,911,158","57,333,751,899",57.3337519,2015,73.80287213
12/31/2014,"69,041,563,463","6,292,755,583","75,334,319,046",75.33431905,2014,96.97410219
12/31/2013,"83,899,249,061","6,174,392,682","90,073,641,743",90.07364174,2013,115.9472953
12/31/2012,"90,042,348,252","5,766,292,503","95,808,640,755",95.80864076,2012,123.3296728
12/31/2011,"87,276,915,790","5,308,609,594","92,585,525,384",92.58552538,2011,119.1807176
12/31/2010,"55,620,104,510","4,819,344,134","60,439,448,644",60.43944864,2010,77.80068027
12/31/2009,"37,221,142,436","5,079,705,286","42,300,847,722",42.30084772,2009,54.45176623
12/31/2008,"17,514,964,723","3,972,372,030","21,487,336,753",21.48733675,2008,27.65957424
12/31/2007,"6,036,146,757","3,796,945,581","9,833,092,338",9.833092338,2007,12.65764811
12/31/2006,"9,822,640,239","3,844,020,520","13,666,660,759",13.66666076,2006,17.59240906
12/31/2005,"28,432,143,237","6,282,121,668","34,714,264,905",34.71426491,2005,44.6859375
12/31/2004,"55,373,766,674","6,766,029,353","62,139,796,027",62.13979603,2004,79.98945244
12/31/2003,"65,032,062,712","6,880,893,268","71,912,955,980",71.91295598,2003,92.56995259
12/31/2002,"63,601,058,794","6,868,671,012","70,469,729,806",70.46972981,2002,90.71215969
12/31/2001,"53,477,225,409","6,424,578,684","59,901,804,093",59.90180409,2001,77.10859732
12/31/2000,"42,990,531,049","6,331,595,468","49,322,126,517",49.32212652,2000,63.48990736
12/31/1999,"51,061,861,875","6,434,274,362","57,496,136,237",57.49613624,1999,74.01190137
12/31/1998,"60,451,017,051","6,288,825,925","66,739,842,976",66.73984298,1998,85.91086287
12/31/1997,"46,559,033,783","6,009,867,422","52,568,901,205",52.56890121,1997,67.66931808
12/31/1996,"36,127,472,805","5,881,609,752","42,009,082,557",42.00908256,1996,54.07619152
12/31/1995,"35,929,173,412","5,657,438,528","41,586,611,940",41.58661194,1995,53.53236622
12/31/1994,"25,611,676,952","4,599,768,498","30,211,445,450",30.21144545,1994,38.88968316
12/31/1993,"25,196,745,031","3,942,792,899","29,139,537,930",29.13953793,1993,37.5098702
12/31/1992,"23,967,172,718","3,804,463,796","27,771,636,514",27.77163651,1992,35.7490391
12/31/1991,"23,378,573,926","3,285,717,796","26,664,291,722",26.66429172,1991,34.32360952
12/31/1990,"20,731,851,093","2,571,911,617","23,303,762,710",23.30376271,1990,29.99776855
12/31/1989,"22,315,104,224","2,334,886,562","24,649,990,786",24.64999079,1989,31.73070064
12/31/1988,"24,750,004,884","1,773,964,293","26,523,969,177",26.52396918,1988,34.14297932
12/31/1987,"28,751,979,125","1,866,342,930","30,618,322,055",30.61832206,1987,39.41343507
12/31/1986,"33,334,905,644","2,013,169,931","35,348,075,575",35.34807558,1986,45.50181028
12/31/1985,"35,194,787,249","2,470,247,948","37,665,035,197",37.6650352,1985,48.48431656
12/31/1984,"34,936,772,393","2,769,874,900","37,706,647,293",37.70664729,1984,48.53788173
,,,,,,
,,,,,,
 1/ Includes loans under the Structural Adjustment Facility and Trust Fund.,,,,,,
,,,,,,
 2/ Formerly PRGF-ESF.,,,,,,