Year,Advance/Price,Price/Income,Advance/Income
1969,0.710560345,2.64,1.87
1970,0.721809045,2.58,1.86
1971,0.728693182,2.58,1.88
1972,0.704502305,2.98,2.1
1973,0.621705894,3.4,2.11
1974,0.597634213,3.22,1.93
1975,0.62331382,2.92,1.82
1976,0.652392947,2.74,1.78
1977,0.646080586,2.63,1.7
1978,0.650057715,2.71,1.76
1979,0.581731493,2.96,1.72
1980,0.557975928,2.86,1.6
1981,0.615139739,2.74,1.68
1982,0.681737439,2.54,1.73
1983,0.682104945,2.68,1.83
1984,0.689651618,2.72,1.88
1985,0.697360383,2.7,1.88
1986,0.699746389,2.81,1.97
1987,0.682280706,2.93,2
1988,0.7456,3.51,2.27
1989,0.7427,3.63,2.33
1990,0.7522,3.47,2.31
1991,0.7567,3.42,2.32
1992,0.7735,3.25,2.28
1993,0.7753,3.22,2.29
1994,0.7804,3.24,2.31
1995,0.7894,3.16,2.29
1996,0.7816,3.16,2.27
1997,0.7738,3.24,2.3
1998,0.7663,3.3,2.3
1999,0.7545,3.41,2.34
2000,0.749,3.56,2.4
2001,0.7421,3.68,2.44
2002,0.727,3.97,2.58
2003,0.683,4.59,2.81
2004,0.673,5.21,3.15
2005,0.698,5.04,3.15
2006,0.711,4.76,3.02
2007,0.707,4.93,3.12
2008,0.683511256,4.95,3.04
2009,0.64775429,4.84,2.85
2010,0.64769551,4.96,2.92
2011,0.668086247,4.88,2.96
2012,0.684383116,4.84,3.01
2013,0.696644776,4.79,3.05
2014,0.71,4.92,3.17
2015,0.711500259,4.85,3.16
2016,0.719176493,4.98,3.26
2017,0.72,5.15,3.38
2018,0.73,5.2,3.43
2019,0.74,5.13,3.45
2020,0.73,5.18,3.45
2021,0.71,5.4,3.5